artistLabel,genreLabel,length
Afu-Ra,['East Coast hip-hop'],7000.0
Agapios Tomboulis,"['Turkish folk music', 'Rebetiko', 'Armenian folk music']",2285.0
Agustín Bardi,['tango'],2166.0
Aharon Razel,['contemporary Jewish religious music'],4883.0
Ahmet Aslan,['folk music'],226.0
Ai Ishigaki,['punk rock'],2500.0
Aidan Girt,['post-rock'],5768.0
Aika,['popular music'],1433.0
Aina More,"['soul', 'UK rap']",7998.0
Airi Suzuki,['classical music'],63290.0
Aja Volkman,"['alternative rock', 'indie rock']",14056.0
Ajay Bhattacharyya,['pop music'],30.0
Ajda Pekkan,['pop music'],51899.0
Ajeezay,"['content creation', 'music', 'comedy']",9172.0
Ajoy Chakrabarty,['Hindustani classical music'],11896.0
Akagündüz Kutbay,['Sufism'],3468.0
Akbar Khan,"['ghazal', 'Indian classical music', 'bhajan']",1084.0
Aki Nawaz,['post-punk'],5791.0
Aki Sirkesalo,['funk'],4432.0
Aki Takahashi,['classical music'],2953.0
Akillezz,['hip-hop'],10644.0
Akio Inoue,['J-pop'],799.0
Akira Tana,['jazz'],5042.0
Akira Terao,"['city pop', 'J-pop']",9750.0
Akis Katsoupakis,['indie pop'],34782.0
Akiva Turgeman,"['rock music', 'pop music', 'soul']",48.0
Akosua Agyapong,['highlife'],6895.0
AkuBai,['gospel music'],4928.0
Al Anderson,['reggae'],565.0
Al B. Romano,['hard rock'],4280.0
Al Beeno,['reggae'],3732.0
Al Dexter,['country music'],7339.0
Al Ferrier,['country music'],4640.0
Al Gafa,['jazz'],2834.0
Al Grey,"['jazz', 'crossover jazz', 'big band music']",13168.0
Al Hendrickson,['jazz'],9710.0
Al Hurricane,"['country music', 'New Mexico music']",36071.0
Al Jardine,['rock music'],61771.0
Al Klink,['jazz'],3604.0
Al McKay,"['disco', 'funk']",6781.0
Al Pike,['hardcore punk'],2738.0
Al Pitrelli,['hard rock'],15758.0
Al Rex,['jazz'],3591.0
Al Schnier,['progressive rock'],7449.0
Al Stewart,['pop music'],40389.0
Al Williams,['jazz'],924.0
Al Wilson,['soul'],32207.0
Alamgir,['pop music'],3369.0
Alan Clark,['rock and roll'],39435.0
Alan Elsdon,['jazz'],2958.0
Alan Glen,['blues'],8366.0
Alan Holdsworth,['jazz fusion'],2919.0
Alan Hull,['folk rock'],11373.0
Alan Lancaster,"['blues rock', 'psychedelic rock', 'rock and roll', 'hard rock']",14699.0
Alan Moore,['heavy metal'],155901.0
Alan Morse,['progressive rock'],2496.0
Alan Myers,"['post-punk', 'new wave']",285.0
Alan O'Day,['pop music'],26194.0
Alan Skidmore,"['jazz fusion', 'progressive rock', 'free jazz', 'post-bop', 'blues', 'avant-garde jazz', 'jazz']",6081.0
Alan Sparhawk,['alternative rock'],773.0
Alan Stivell,"['folk rock', 'Celtic rock', 'new age music', 'electroacoustic music', 'Celtic music', 'Celtic fusion', 'crossover', 'Breton rock', 'music of Brittany']",22120.0
Alan Vega,['punk rock'],22767.0
Alan Warner,['rock music'],287.0
Alan White,['Britpop'],1363.0
Alan White,"['rock music', 'progressive rock']",1363.0
Alan Wilder,"['new wave', 'electronica']",20154.0
Alana Haim,"['indie rock', 'folk rock']",32161.0
Alap Momin,['hip-hop'],44684.0
Alban Berg,"['opera', 'twelve-tone technique']",37168.0
Albennie Jones,['blues'],4614.0
Albert Bouchard,"['heavy metal', 'hard rock']",6086.0
Albert Garzia,['contemporary classical music'],4163.0
Albert Griffiths,['reggae'],319.0
"Albert Hammond, Jr.","['alternative rock', 'indie rock', 'garage rock']",48.0
Albert Heath,"['jazz', 'spiritual jazz', 'soul jazz', 'modal jazz']",14664.0
Albert Lee,"['rock music', 'country music']",20815.0
Albert Lim,['opera'],4443.0
Albert Mangelsdorff,"['jazz fusion', 'free jazz', 'post-bop', 'avant-garde jazz', 'jazz', 'modal jazz']",13044.0
Albert Pla,"['rock music', 'cantautor music']",6400.0
Albert White,['electric blues'],908.0
Alberta Adams,['blues'],22407.0
Alberto Ardines,['heavy metal'],3601.0
Alberto Caracciolo,['tango'],2726.0
Alberto Contini,['extreme metal'],3849.0
Alberto Savinio,['opera'],17478.0
Alcebíades Barcelos,['samba'],3135.0
Aldo Tagliapietra,['progressive rock'],3659.0
Aldus Roger,['Cajun music'],3635.0
Ale Carr,['traditional folk music'],4468.0
Alec Baillie,['punk rock'],4593.0
Alec Bathgate,['indie pop'],3196.0
Alec MacKaye,['hardcore punk'],3852.0
Alejandro Brittes,['chamamé'],13440.0
Alejandro Sanz,['Latin pop'],47895.0
Alejandro Silva,['speed metal'],478.0
Aleksandr Tsoi,"['post-punk', 'gothic rock', 'rock music']",0.0
Aleksei Vishnya,"['post-punk', 'techno', 'synth-pop', 'new wave']",0.0
Aleksey Borisov,"['electronic music', 'experimental music', 'industrial music']",53.0
Alela Diane,"['folk music', 'pop music']",16679.0
Alem,['hip-hop'],4826.0
Alessandro Melani,['opera'],4690.0
Alessandro Moreschi,"['opera', 'church music']",15393.0
Alessandro Venturella,['thrash metal'],7000.0
Alex Campos,['Christian rock'],17289.0
Alex Clare,"['pop rock', 'soul', 'dubstep']",39374.0
Alex Day,['synth-pop'],47686.0
Alex G,['indie rock'],16764.0
Alex Harvey,['rock music'],456.0
Alex Hill,['jazz'],487.0
Alex Hope,['pop music'],107.0
Alex Jacobowitz,"['klezmer', 'tango', 'flamenco']",11762.0
Alex James,"['alternative rock', 'electronic music', 'Britpop']",676.0
Alex Katunich,['alternative rock'],7089.0
Alex Lee,"['alternative rock', 'pop music', 'ambient music']",716.0
Alex Ligertwood,['rock music'],5770.0
Alex McLean,['algorave'],9185.0
Alex Neilson,['indie rock'],9075.0
Alex Otaola,['rock music'],4099.0
Alex P,['pop music'],26814.0
Alex Paterson,['electronica'],5070.0
Alex Reece,['drum and bass'],5593.0
Alex Riel,"['rock music', 'jazz', 'free jazz']",12352.0
Alex Rosamilia,['alternative rock'],4356.0
Alex Scally,"['dream pop', 'indie pop']",7550.0
Alex Skolnick,['jazz'],23779.0
Alex St. Clair,['rock music'],3940.0
Alex Staropoli,"['power metal', 'symphonic metal']",3932.0
Alex Templeton-Ward,['experimental rock'],7751.0
Alex Torres,['metalcore'],251.0
Alex Tronic,['electronica'],8856.0
Alex Vega,['gothic metal'],7124.0
Alex Webster,['death metal'],13212.0
Alex Weir,"['funk', 'new wave']",357.0
Alex Winston,['pop music'],11018.0
Alex Wolff,"['rock music', 'independent music', 'pop music', 'bubblegum music']",23582.0
Alexander Ardakov,['classical music'],2752.0
Alexander Brandon,['electronica'],13099.0
Alexander Ferdinand Grychtolik,['Baroque music'],51.0
Alexander Gibson,['classical music'],881.0
Alexander Goehr,"['opera', 'symphony']",39577.0
Alexander James Adams,['world music'],22047.0
Alexander Julien,"['cosmic black metal', 'black metal', 'ambient music', 'post-rock', 'atmospheric black metal', 'rock music', 'space ambient', 'space rock']",421.0
Alexander Kipnis,['opera'],8546.0
Alexander Knaifel,['opera'],8356.0
Alexander Kuoppala,['melodic death metal'],3139.0
Alexander Miljković,['classical music'],93.0
Alexander Pirogov,['opera'],2622.0
Alexander Rudin,['classical music'],3846.0
Alexander Rybak,"['baroque pop', 'classical music', 'pop music', 'adult contemporary music', 'indie pop', 'crossover']",68152.0
Alexander Stenerud,['pop music'],2252.0
Alexander Tucker,['experimental music'],297.0
Alexander Vernon,"['metalcore', 'emotional hardcore', 'melodic hardcore', 'hardcore punk']",191.0
Alexandrina Pendatchanska,['opera'],7008.0
Alexei Khvostenko,['bard song'],10405.0
Alexey Nikolayevich Titov,['opera'],42.0
Alexey Vorobyov,['pop music'],9867.0
Alexi Laiho,['melodic death metal'],28078.0
Alexis Krauss,['noise pop'],725.0
Alexis Taylor,['electronic music'],6955.0
Alexz Johnson,"['rock music', 'pop music', 'indie pop']",55502.0
Alf Bigden,['lounge music'],5402.0
Alfred Morris III,['doom metal'],52.0
Alfred Prinz,['classical music'],2932.0
Alfred Schnittke,"['art music', 'opera', 'symphony', '20th-century classical music']",21363.0
Alfreda Gerald,['rhythm and blues'],3024.0
Alfredo Hernández,['stoner rock'],7139.0
Alfredo de la Fé,"['Latin jazz', 'salsa']",10085.0
Algirdas Kaušpėdas,['rock music'],3083.0
Algis Kizys,['noise rock'],7350.0
Ali,['hip-hop'],143696.0
Ali Akbar Khan,['Hindustani classical music'],17355.0
Ali Azimi,['alternative rock'],9756.0
Ali Lohan,['pop music'],43.0
Ali Love,['disco'],15769.0
Ali Ryerson,['jazz'],3443.0
Ali-Naqi Vaziri,['classical music'],10195.0
Ali-Ollie Woodson,['soul'],4508.0
Alice Bigelow Tully,['opera'],0.0
Alicia Bridges,['disco'],12679.0
Alida Hisku,['easy listening'],6473.0
Alihan Samedov,['folk music'],4078.0
Alik Gunashian,['pop music'],2153.0
Alim Qasimov,['mugham'],29587.0
Alina Pogostkina,['classical music'],4237.0
Alina Smith,"['pop music', 'K-pop']",13094.0
Aline Lahoud,"['pop music', 'soul']",2959.0
Alireza Assar,['pop music'],6566.0
Alirio Díaz,['classical music'],12620.0
Alisa Amador,['jazz'],18339.0
Alison Brown,"['jazz', 'country music', 'blues', 'bluegrass music']",11203.0
Alison Goldfrapp,"['electronica', 'ambient music']",32762.0
Alistair Griffin,['pop rock'],32321.0
Aljoša Buha,['pop music'],8491.0
Alla Fedynitch,['heavy metal'],4107.0
Allan Chase,['jazz'],2026.0
Allan Fraser,['traditional folk music'],601.0
Allan Harris,['jazz'],6923.0
Allan Praskin,['jazz'],4690.0
Allan Vache,['jazz'],43.0
Allauddin Khan,['Hindustani classical music'],14074.0
Allen Ginsberg,['spoken word'],115234.0
Allen Hinds,"['jazz', 'soul']",4748.0
Allen Lanier,['heavy metal'],6203.0
Allen Lowe,['jazz'],12289.0
Allen McKenzie,['rock music'],5907.0
Allen Stone,['soul'],23157.0
Allen West,['death metal'],626.0
Allie Gonino,"['indie rock', 'folk rock']",12210.0
Allie Sherlock,['pop music'],20214.0
Allison Miller,"['jazz', 'modern creative', 'post-bop']",13092.0
Allison Moorer,"['country music', 'blues']",27243.0
Allison Ponthier,"['country music', 'indie folk']",16831.0
Allison Robertson,['rock music'],7160.0
Ally McErlaine,['rock music'],5749.0
Allyn Ferguson,['jazz'],6620.0
Alma Gluck,['classical music'],7703.0
Alma Zohar,['pop music'],3782.0
Almir Chediak,['bossa nova'],6707.0
Aloe Blacc,"['jazz', 'soul', 'rhythm and blues']",30375.0
Alois Brandhofer,['classical music'],4090.0
Alozade,['dancehall'],3006.0
Alpha Blondy,['reggae'],17839.0
Alphonse Hasselmans,['classical music'],4584.0
Alton Brown,"['cooking show', 'cookbook']",38609.0
Alus,['pop music'],50.0
Alva Noto,['electronica'],45.0
Alver,['black metal'],439.0
"Alvin ""Seeco"" Patterson",['reggae'],76.0
Alvin Ranglin,['reggae'],6216.0
Alvin Youngblood Hart,['blues'],4719.0
Alí Primera,"['protest song', 'traditional folk music']",10297.0
Amakye Dede,['highlife'],5448.0
Aman Hayer,['bhangra'],8436.0
Amanat Ali,['playback singer'],475.0
